Riverside Weekender - Master Patch,,,,,,,,,,,,,,,,,,,,,,,PINK,12,USC
15,FRONT VOX 1,15,FSNAKE 7,sE v7,15,FSNAKE 7,v7,15,FSNAKE 7,v7,15,FSNAKE 7,sE v7,15,FSNAKE 7,v7,15,,,15,,,FRONT VOX 1,,
16,FRONT VOX 2,16,FSNAKE 8,sE v7,16,FSNAKE 8,v7,16,FSNAKE 8,v7,16,FSNAKE 8,sE v7,16,FSNAKE 8,v7,16,,,16,,,FRONT VOX 2,,
17,KICK IN 2,17,SB 1,sE KICK,17,SB 1,/,17,SB 1,/,17,SB 1,sE KICK,17,SB 1,sE KICK,17,,,17,,,KICK IN 2,,
18,SNARE 2,18,SB 2,sE SNARE,18,SB 2,/,18,SB 2,/,18,SB 2,sE SNARE,18,SB 2,sE SNARE,18,,,18,,,SNARE 2,,
19,RACK 1 2,19,SB 3,sE TOM,19,SB 3,/,19,SB 3,/,19,SB 3,sE TOM,19,SB 3,sE TOM,19,,,19,,,RACK 1 2,,
20,RACK 2 2,20,SB 4,sE TOM,20,SB 4,/,20,SB 4,/,20,SB 4,sE TOM,20,SB 4,sE TOM,20,,,20,,,RACK 2 2,,
21,FLOOR 2,21,SB5,sE TOM,21,SB5,/,21,SB5,/,21,SB5,sE TOM,21,SB5,sE TOM,21,,,21,,,FLOOR 2,,
22,OH L 2,22,SB 6,sE OH,22,SB 6,/,22,SB 6,/,22,SB 6,sE OH,22,SB 6,sE OH,22,,,22,,,OH L 2,,
23,OH R 2,23,SB 7,sE OH,23,SB 7,/,23,SB 7,/,23,SB 7,sE OH,23,SB 7,sE OH,23,,,23,,,OH R 2,,
24,BV DRUMS,24,SB 8,/,24,SB 8,/,24,SB 8,/,24,SB 8,/,24,SB 8,/,24,,,24,,,BV DRUMS,,
25,BACK VOX 1,25,SB 9,/,25,SB 9,v7,25,SB 9,/,25,SB 9,/,25,SB 9,/,25,,,25,,,BACK VOX 1,,
26,BACK VOX 2,26,SB 10,/,26,SB 10,v7,26,SB 10,/,26,SB 10,/,26,SB 10,/,26,,,26,,,BACK VOX 2,,
27,BACK VOX 3,27,SB 11,/,27,SB 11,v7,27,SB 11,/,27,SB 11,/,27,SB 11,/,27,,,27,,,BACK VOX 3,,
28,BACK VOX 4,28,SB 12,/,28,SB 12,,28,SB 12,/,28,SB 12,/,28,SB 12,/,28,,,28,,,BACK VOX 4,,
29,,29,SB 13,,29,SB 13,,29,SB 13,,29,SB 13,,29,SB 13,,29,,,29,,,,,
30,,30,SB 14,,30,SB 14,,30,SB 14,,30,SB 14,,30,SB 14,,30,,,30,,,,,
31,,31,SB 15,,31,SB 15,,31,SB 15,,31,SB 15,,31,SB 15,,31,,,31,,,,,
32,,32,SB 16,,32,SB 16,,32,SB 16,,32,SB 16,,32,SB 16,,32,,,32,,,,,
33,,33,,,33,,,33,,,33,,,33,,,33,,,33,,,,,
34,,34,,,34,,,34,,,34,,,34,,,34,,,34,,,,,
35,,35,,,35,,,35,,,35,,,35,,,35,,,35,,,,,
36,,36,,,36,,,36,,,36,,,36,,,36,,,36,,,,,
37,,37,,,37,,,37,,,37,,,37,,,37,,,37,,,,,
38,,38,,,38,,,38,,,38,,,38,,,38,,,38,,,,,
39,,39,,,39,,,39,,,39,,,39,,,39,,,39,,,,,
40,,40,,,40,,,40,,,40,,,40,,,40,,,40,,,,,
41,,41,,,41,,,41,,,41,,,41,,,41,,,41,,,,,
42,,42,,,42,,,42,,,42,,,42,,,42,,,42,,,,,
43,,43,,,43,,,43,,,43,,,43,,,43,,,43,,,,,
44,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,,,
45,,45,,,45,,,45,,,45,,,45,,,45,,,45,,,,,
46,,46,,,46,,,46,,,46,,,46,,,46,,,46,,,,,
47,,47,,,47,,,47,,,47,,,47,,,47,,,47,,,,,
48,,48,,,48,,,48,,,48,,,48,,,48,,,48,,,,,
49,,49,,,49,,,49,,,49,,,49,,,49,,,49,,,,,
50,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,,,
51,,51,,,51,,,51,,,51,,,51,,,51,,,51,,,,,
52,,52,,,52,,,52,,,52,,,52,,,52,,,52,,,,,
53,,53,,,53,,,53,,,53,,,53,,,53,,,53,,,,,
54,,54,,,54,,,54,,,54,,,54,,,54,,,54,,,,,
55,,55,,,55,,,55,,,55,,,55,,,55,,,55,,,,,
56,,56,,,56,,,56,,,56,,,56,,,56,,,56,,,,,
,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
