Second Stage - Example Festival - Master Patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PINK,12,USC
10,OH SR,10,,FLUTE-1 SDC,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,OH SR,,
11,OH SL,11,,FLUTE-2 SDC,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,OH SL,,
12,SPD MONO,12,,CLARINET-1 SDC,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,SPD MONO,,
13,SPD L,13,,CLARINET-2 SDC,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,SPD L,,
14,SPD R,14,,OBOE-1 SDC,14,,,14,,,14,,,14,,,14,,,14,,,14,,,14,,,14,,,14,,,14,,,14,,,14,,,14,,,14,,,SPD R,,
15,BASS DI,15,,BASOON,15,,,15,,,15,,,15,,,15,,,15,,,15,,,15,,,15,,,15,,,15,,,15,,,15,,,15,,,15,,,BASS DI,,
16,BASS MIC,16,,SAX 1 57,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16,,,BASS MIC,,
17,GTR 1 SRR,17,,SAX 2 57,17,,,17,,,17,,,17,,,17,,,17,,,17,,,17,,,17,,,17,,,17,,,17,,,17,,,17,,,17,,,GTR 1 SRR,,
18,GTR 2 SR,18,,TRUMPET 57,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,GTR 2 SR,,
19,GTR 3 SL,19,,TROMBONE 57,19,,,19,,,19,,,19,,,19,,,19,,,19,,,19,,,19,,,19,,,19,,,19,,,19,,,19,,,19,,,GTR 3 SL,,
20,GTR 4 SLL,20,,HORN 1 58,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,GTR 4 SLL,,
21,KEYS 1L,21,,HORN 2 58,21,,,21,,,21,,,21,,,21,,,21,,,21,,,21,,,21,,,21,,,21,,,21,,,21,,,21,,,21,,,KEYS 1L,,
22,KEYS 1R,22,,PERCUSSION 57,22,,,22,,,22,,,22,,,22,,,22,,,22,,,22,,,22,,,22,,,22,,,22,,,22,,,22,,,22,,,KEYS 1R,,
23,KEYS 2L,23,,S 58,23,,,23,,,23,,,23,,,23,,,23,,,23,,,23,,,23,,,23,,,23,,,23,,,23,,,23,,,23,,,KEYS 2L,,
24,KEYS 2R,24,,A 58,24,,,24,,,24,,,24,,,24,,,24,,,24,,,24,,,24,,,24,,,24,,,24,,,24,,,24,,,24,,,KEYS 2R,,
25,DI 1,25,,T 58,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,DI 1,,
26,DI 2,26,,B 58,26,,,26,,,26,,,26,,,26,,,26,,,26,,,26,,,26,,,26,,,26,,,26,,,26,,,26,,,26,,,DI 2,,
27,DI 3,27,,EL BASS DI,27,,,27,,,27,,,27,,,27,,,27,,,27,,,27,,,27,,,27,,,27,,,27,,,27,,,27,,,27,,,DI 3,,
28,DI 4,28,,KEYS DI,28,,,28,,,28,,,28,,,28,,,28,,,28,,,28,,,28,,,28,,,28,,,28,,,28,,,28,,,28,,,DI 4,,
29,DI 5,29,,KICK 91,29,,,29,,,29,,,29,,,29,,,29,,,29,,,29,,,29,,,29,,,29,,,29,,,29,,,29,,,29,,,DI 5,,
30,DI 6,30,,SNARE 604,30,,,30,,,30,,,30,,,30,,,30,,,30,,,30,,,30,,,30,,,30,,,30,,,30,,,30,,,30,,,DI 6,,
31,DI 7,31,,HATS 451,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,DI 7,,
32,DI 8,32,,OH L 214,32,,,32,,,32,,,32,,,32,,,32,,,32,,,32,,,32,,,32,,,32,,,32,,,32,,,32,,,32,,,DI 8,,
33,DI 9,33,,OH R 214,33,,,33,,,33,,,33,,,33,,,33,,,33,,,33,,,33,,,33,,,33,,,33,,,33,,,33,,,33,,,DI 9,,
34,DI 10,34,,,34,,,34,,,34,,,34,,,34,,,34,,,34,,,34,,,34,,,34,,,34,,,34,,,34,,,34,,,34,,,DI 10,,
35,DJ L,35,,,35,,,35,,,35,,,35,,,35,,,35,,,35,,,35,,,35,,,35,,,35,,,35,,,35,,,35,,,35,,,DJ L,,
36,DJ R,36,,,36,,,36,,,36,,,36,,,36,,,36,,,36,,,36,,,36,,,36,,,36,,,36,,,36,,,36,,,36,,,DJ R,,
37,BTH L,37,,,37,,,37,,,37,,,37,,,37,,,37,,,37,,,37,,,37,,,37,,,37,,,37,,,37,,,37,,,37,,,BTH L,,
38,BTH R,38,,,38,,,38,,,38,,,38,,,38,,,38,,,38,,,38,,,38,,,38,,,38,,,38,,,38,,,38,,,38,,,BTH R,,
39,VX 1,39,,,39,,,39,,,39,,,39,,,39,,,39,,,39,,,39,,,39,,,39,,,39,,,39,,,39,,,39,,,39,,,VX 1,,
40,VX 2,40,,,40,,,40,,,40,,,40,,,40,,,40,,,40,,,40,,,40,,,40,,,40,,,40,,,40,,,40,,,40,,,VX 2,,
41,VX 3,41,,,41,,,41,,,41,,,41,,,41,,,41,,,41,,,41,,,41,,,41,,,41,,,41,,,41,,,41,,,41,,,VX 3,,
42,VX 4,42,,,42,,,42,,,42,,,42,,,42,,,42,,,42,,,42,,,42,,,42,,,42,,,42,,,42,,,42,,,42,,,VX 4,,
43,VX 5,43,,,43,,,43,,,43,,,43,,,43,,,43,,,43,,,43,,,43,,,43,,,43,,,43,,,43,,,43,,,43,,,VX 5,,
44,VX 6,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,VX 6,,
45,HH1,45,H,,45,H,,45,H,,45,H,,45,H,,45,H,,45,H,,45,H,,45,H,,45,H,,45,H,,45,H,,45,H,,45,H,,45,H,,45,H,,HH1,,
46,HH2,46,H,,46,H,,46,H,,46,H,,46,H,,46,H,,46,H,,46,H,,46,H,,46,H,,46,H,,46,H,,46,H,,46,H,,46,H,,46,H,,HH2,,
47,HH3,47,H,LEAD 1 ,47,H,,47,H,,47,H,,47,H,,47,H,,47,H,,47,H,,47,H,,47,H,,47,H,,47,H,,47,H,,47,H,,47,H,,47,H,,HH3,,
48,HH4,48,H,LEAD 2,48,H,,48,H,,48,H,,48,H,,48,H,,48,H,,48,H,,48,H,,48,H,,48,H,,48,H,,48,H,,48,H,,48,H,,48,H,,HH4,,
49,,49,,,49,,,49,,,49,,,49,,,49,,,49,,,49,,,49,,,49,,,49,,,49,,,49,,,49,,,49,,,49,,,,,
50,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,,,
51,,51,,,51,,,51,,,51,,,51,,,51,,,51,,,51,,,51,,,51,,,51,,,51,,,51,,,51,,,51,,,51,,,,,
52,,52,,,52,,,52,,,52,,,52,,,52,,,52,,,52,,,52,,,52,,,52,,,52,,,52,,,52,,,52,,,52,,,,,
53,,53,,,53,,,53,,,53,,,53,,,53,,,53,,,53,,,53,,,53,,,53,,,53,,,53,,,53,,,53,,,53,,,,,
54,,54,,,54,,,54,,,54,,,54,,,54,,,54,,,54,,,54,,,54,,,54,,,54,,,54,,,54,,,54,,,54,,,,,
55,,55,,,55,,,55,,,55,,,55,,,55,,,55,,,55,,,55,,,55,,,55,,,55,,,55,,,55,,,55,,,55,,,,,
56,,56,,,56,,,56,,,56,,,56,,,56,,,56,,,56,,,56,,,56,,,56,,,56,,,56,,,56,,,56,,,56,,,,,
,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,, Additional Info:,,,,
,,,Pray for the end of the set,,,DL32 / ALL ON HOUSE BAR FOH,,,Require 3 57s from House - If time allows - Can we de-festival the CDM32 so Mons stays Festival,,,,,,Touring Desks / Multis / Power / Other info to speed up changeover from their specs,,,Touring Desks / Multis / Power / Other info to speed up changeover from their specs,,,Touring Desks / Multis / Power / Other info to speed up changeover from their specs,,,Touring Desks / Multis / Power / Other info to speed up changeover from their specs,,,Touring Desks / Multis / Power / Other info to speed up changeover from their specs,,,Touring Desks / Multis / Power / Other info to speed up changeover from their specs,,,Touring Desks / Multis / Power / Other info to speed up changeover from their specs,,,Touring Desks / Multis / Power / Other info to speed up changeover from their specs,,,Touring Desks / Multis / Power / Other info to speed up changeover from their specs,,,Touring Desks / Multis / Power / Other info to speed up changeover from their specs,,,Touring Desks / Multis / Power / Other info to speed up changeover from their specs,,,Touring Desks / Multis / Power / Other info to speed up changeover from their specs,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NO.,ITEM,,NO.,ITEM,,NO.,ITEM,,NO.,ITEM,,NO.,ITEM,,NO.,ITEM,,NO.,ITEM,,NO.,ITEM,,NO.,ITEM,,NO.,ITEM,,NO.,ITEM,,NO.,ITEM,,NO.,ITEM,,NO.,ITEM,,NO.,ITEM,,NO.,ITEM,,,
,,,,,,,,,5,Tall Stands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12,Small Stands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUB 1,CH,,SUB 1,CH,,SUB 1,CH,,SUB 1,CH,,SUB 1,CH,,SUB 1,CH,,SUB 1,CH,,SUB 1,CH,,SUB 1,CH,,SUB 1,CH,,SUB 1,CH,,SUB 1,CH,,SUB 1,CH,,SUB 1,CH,,SUB 1,CH,,SUB 1,CH,,,
,,,P1,,,P1,,,P1,,,P1,,,P1,,,P1,,,P1,,,P1,,,P1,,,P1,,,P1,,,P1,,,P1,,,P1,,,P1,,,P1,,,,
,,,P2,,,P2,,,P2,,,P2,,,P2,,,P2,,,P2,,,P2,,,P2,,,P2,,,P2,,,P2,,,P2,,,P2,,,P2,,,P2,,,,
,,,P3,,,P3,,,P3,,,P3,,,P3,,,P3,,,P3,,,P3,,,P3,,,P3,,,P3,,,P3,,,P3,,,P3,,,P3,,,P3,,,,
,,,P4,,,P4,,,P4,,,P4,,,P4,,,P4,,,P4,,,P4,,,P4,,,P4,,,P4,,,P4,,,P4,,,P4,,,P4,,,P4,,,,
,,,P5,,,P5,,,P5,,,P5,,,P5,,,P5,,,P5,,,P5,,,P5,,,P5,,,P5,,,P5,,,P5,,,P5,,,P5,,,P5,,,,
,,,P6,,,P6,,,P6,,,P6,,,P6,,,P6,,,P6,,,P6,,,P6,,,P6,,,P6,,,P6,,,P6,,,P6,,,P6,,,P6,,,,
,,,P7,,,P7,,,P7,,,P7,,,P7,,,P7,,,P7,,,P7,,,P7,,,P7,,,P7,,,P7,,,P7,,,P7,,,P7,,,P7,,,,
,,,P8,,,P8,,,P8,,,P8,,,P8,,,P8,,,P8,,,P8,,,P8,,,P8,,,P8,,,P8,,,P8,,,P8,,,P8,,,P8,,,,
,,,P9,,,P9,,,P9,,,P9,,,P9,,,P9,,,P9,,,P9,,,P9,,,P9,,,P9,,,P9,,,P9,,,P9,,,P9,,,P9,,,,
,,,P10,,,P10,,,P10,,,P10,,,P10,,,P10,,,P10,,,P10,,,P10,,,P10,,,P10,,,P10,,,P10,,,P10,,,P10,,,P10,,,,
,,,P11,,,P11,,,P11,,,P11,,,P11,,,P11,,,P11,,,P11,,,P11,,,P11,,,P11,,,P11,,,P11,,,P11,,,P11,,,P11,,,,
,,,P12,,,P12,,,P12,,,P12,,,P12,,,P12,,,P12,,,P12,,,P12,,,P12,,,P12,,,P12,,,P12,,,P12,,,P12,,,P12,,,,
,,,SUB 2,CH,,SUB 2,CH,,SUB 2,CH,,SUB 2,CH,,SUB 2,CH,,SUB 2,CH,,SUB 2,CH,,SUB 2,CH,,SUB 2,CH,,SUB 2,CH,,SUB 2,CH,,SUB 2,CH,,SUB 2,CH,,SUB 2,CH,,SUB 2,CH,,SUB 2,CH,,,
,,,B1,,,B1,,,B1,,,B1,,,B1,,,B1,,,B1,,,B1,,,B1,,,B1,,,B1,,,B1,,,B1,,,B1,,,B1,,,B1,,,,
,,,B2,,,B2,,,B2,,,B2,,,B2,,,B2,,,B2,,,B2,,,B2,,,B2,,,B2,,,B2,,,B2,,,B2,,,B2,,,B2,,,,
,,,B3,,,B3,,,B3,,,B3,,,B3,,,B3,,,B3,,,B3,,,B3,,,B3,,,B3,,,B3,,,B3,,,B3,,,B3,,,B3,,,,
,,,B4,,,B4,,,B4,,,B4,,,B4,,,B4,,,B4,,,B4,,,B4,,,B4,,,B4,,,B4,,,B4,,,B4,,,B4,,,B4,,,,
,,,B5,,,B5,,,B5,,,B5,,,B5,,,B5,,,B5,,,B5,,,B5,,,B5,,,B5,,,B5,,,B5,,,B5,,,B5,,,B5,,,,
,,,B6,,,B6,,,B6,,,B6,,,B6,,,B6,,,B6,,,B6,,,B6,,,B6,,,B6,,,B6,,,B6,,,B6,,,B6,,,B6,,,,
,,,B7,,,B7,,,B7,,,B7,,,B7,,,B7,,,B7,,,B7,,,B7,,,B7,,,B7,,,B7,,,B7,,,B7,,,B7,,,B7,,,,
,,,B8,,,B8,,,B8,,,B8,,,B8,,,B8,,,B8,,,B8,,,B8,,,B8,,,B8,,,B8,,,B8,,,B8,,,B8,,,B8,,,,
,,,B9,,,B9,,,B9,,,B9,,,B9,,,B9,,,B9,,,B9,,,B9,,,B9,,,B9,,,B9,,,B9,,,B9,,,B9,,,B9,,,,
,,,B10,,,B10,,,B10,,,B10,,,B10,,,B10,,,B10,,,B10,,,B10,,,B10,,,B10,,,B10,,,B10,,,B10,,,B10,,,B10,,,,
,,,B11,,,B11,,,B11,,,B11,,,B11,,,B11,,,B11,,,B11,,,B11,,,B11,,,B11,,,B11,,,B11,,,B11,,,B11,,,B11,,,,
,,,B12,,,B12,,,B12,,,B12,,,B12,,,B12,,,B12,,,B12,,,B12,,,B12,,,B12,,,B12,,,B12,,,B12,,,B12,,,B12,,,,
,,,SUB 3,CH,,SUB 3,CH,,SUB 3,CH,,SUB 3,CH,,SUB 3,CH,,SUB 3,CH,,SUB 3,CH,,SUB 3,CH,,SUB 3,CH,,SUB 3,CH,,SUB 3,CH,,SUB 3,CH,,SUB 3,CH,,SUB 3,CH,,SUB 3,CH,,SUB 3,CH,,,
,,,G1,,,G1,,,G1,,,G1,,,G1,,,G1,,,G1,,,G1,,,G1,,,G1,,,G1,,,G1,,,G1,,,G1,,,G1,,,G1,,,,
,,,G2,,,G2,,,G2,,,G2,,,G2,,,G2,,,G2,,,G2,,,G2,,,G2,,,G2,,,G2,,,G2,,,G2,,,G2,,,G2,,,,
,,,G3,,,G3,,,G3,,,G3,,,G3,,,G3,,,G3,,,G3,,,G3,,,G3,,,G3,,,G3,,,G3,,,G3,,,G3,,,G3,,,,
,,,G4,,,G4,,,G4,,,G4,,,G4,,,G4,,,G4,,,G4,,,G4,,,G4,,,G4,,,G4,,,G4,,,G4,,,G4,,,G4,,,,
,,,G5,,,G5,,,G5,,,G5,,,G5,,,G5,,,G5,,,G5,,,G5,,,G5,,,G5,,,G5,,,G5,,,G5,,,G5,,,G5,,,,
,,,G6,,,G6,,,G6,,,G6,,,G6,,,G6,,,G6,,,G6,,,G6,,,G6,,,G6,,,G6,,,G6,,,G6,,,G6,,,G6,,,,
,,,G7,,,G7,,,G7,,,G7,,,G7,,,G7,,,G7,,,G7,,,G7,,,G7,,,G7,,,G7,,,G7,,,G7,,,G7,,,G7,,,,
,,,G8,,,G8,,,G8,,,G8,,,G8,,,G8,,,G8,,,G8,,,G8,,,G8,,,G8,,,G8,,,G8,,,G8,,,G8,,,G8,,,,
,,,G9,,,G9,,,G9,,,G9,,,G9,,,G9,,,G9,,,G9,,,G9,,,G9,,,G9,,,G9,,,G9,,,G9,,,G9,,,G9,,,,
,,,G10,,,G10,,,G10,,,G10,,,G10,,,G10,,,G10,,,G10,,,G10,,,G10,,,G10,,,G10,,,G10,,,G10,,,G10,,,G10,,,,
,,,G11,,,G11,,,G11,,,G11,,,G11,,,G11,,,G11,,,G11,,,G11,,,G11,,,G11,,,G11,,,G11,,,G11,,,G11,,,G11,,,,
,,,G12,,,G12,,,G12,,,G12,,,G12,,,G12,,,G12,,,G12,,,G12,,,G12,,,G12,,,G12,,,G12,,,G12,,,G12,,,G12,,,,
,,,SUB 4,CH,,SUB 4,CH,,SUB 4,CH,,SUB 4,CH,,SUB 4,CH,,SUB 4,CH,,SUB 4,CH,,SUB 4,CH,,SUB 4,CH,,SUB 4,CH,,SUB 4,CH,,SUB 4,CH,,SUB 4,CH,,SUB 4,CH,,SUB 4,CH,,SUB 4,CH,,,
,,,O1,,,O1,,,O1,,,O1,,,O1,,,O1,,,O1,,,O1,,,O1,,,O1,,,O1,,,O1,,,O1,,,O1,,,O1,,,O1,,,,
,,,O2,,,O2,,,O2,,,O2,,,O2,,,O2,,,O2,,,O2,,,O2,,,O2,,,O2,,,O2,,,O2,,,O2,,,O2,,,O2,,,,
,,,O3,,,O3,,,O3,,,O3,,,O3,,,O3,,,O3,,,O3,,,O3,,,O3,,,O3,,,O3,,,O3,,,O3,,,O3,,,O3,,,,
,,,O4,,,O4,,,O4,,,O4,,,O4,,,O4,,,O4,,,O4,,,O4,,,O4,,,O4,,,O4,,,O4,,,O4,,,O4,,,O4,,,,
,,,O5,,,O5,,,O5,,,O5,,,O5,,,O5,,,O5,,,O5,,,O5,,,O5,,,O5,,,O5,,,O5,,,O5,,,O5,,,O5,,,,
,,,O6,,,O6,,,O6,,,O6,,,O6,,,O6,,,O6,,,O6,,,O6,,,O6,,,O6,,,O6,,,O6,,,O6,,,O6,,,O6,,,,
,,,O7,,,O7,,,O7,,,O7,,,O7,,,O7,,,O7,,,O7,,,O7,,,O7,,,O7,,,O7,,,O7,,,O7,,,O7,,,O7,,,,
,,,O8,,,O8,,,O8,,,O8,,,O8,,,O8,,,O8,,,O8,,,O8,,,O8,,,O8,,,O8,,,O8,,,O8,,,O8,,,O8,,,,
,,,O9,,,O9,,,O9,,,O9,,,O9,,,O9,,,O9,,,O9,,,O9,,,O9,,,O9,,,O9,,,O9,,,O9,,,O9,,,O9,,,,
,,,O10,,,O10,,,O10,,,O10,,,O10,,,O10,,,O10,,,O10,,,O10,,,O10,,,O10,,,O10,,,O10,,,O10,,,O10,,,O10,,,,
,,,O11,,,O11,,,O11,,,O11,,,O11,,,O11,,,O11,,,O11,,,O11,,,O11,,,O11,,,O11,,,O11,,,O11,,,O11,,,O11,,,,
,,,O12,,,O12,,,O12,,,O12,,,O12,,,O12,,,O12,,,O12,,,O12,,,O12,,,O12,,,O12,,,O12,,,O12,,,O12,,,O12,,,,
,,,SUB 5,CH,,SUB 5,CH,,SUB 5,CH,,SUB 5,CH,,SUB 5,CH,,SUB 5,CH,,SUB 5,CH,,SUB 5,CH,,SUB 5,CH,,SUB 5,CH,,SUB 5,CH,,SUB 5,CH,,SUB 5,CH,,SUB 5,CH,,SUB 5,CH,,SUB 5,CH,,,
,,,Y1,,,Y1,,,Y1,,,Y1,,,Y1,,,Y1,,,Y1,,,Y1,,,Y1,,,Y1,,,Y1,,,Y1,,,Y1,,,Y1,,,Y1,,,Y1,,,,
,,,Y2,,,Y2,,,Y2,,,Y2,,,Y2,,,Y2,,,Y2,,,Y2,,,Y2,,,Y2,,,Y2,,,Y2,,,Y2,,,Y2,,,Y2,,,Y2,,,,
,,,Y3,,,Y3,,,Y3,,,Y3,,,Y3,,,Y3,,,Y3,,,Y3,,,Y3,,,Y3,,,Y3,,,Y3,,,Y3,,,Y3,,,Y3,,,Y3,,,,
,,,Y4,,,Y4,,,Y4,,,Y4,,,Y4,,,Y4,,,Y4,,,Y4,,,Y4,,,Y4,,,Y4,,,Y4,,,Y4,,,Y4,,,Y4,,,Y4,,,,
,,,Y5,,,Y5,,,Y5,,,Y5,,,Y5,,,Y5,,,Y5,,,Y5,,,Y5,,,Y5,,,Y5,,,Y5,,,Y5,,,Y5,,,Y5,,,Y5,,,,
,,,Y6,,,Y6,,,Y6,,,Y6,,,Y6,,,Y6,,,Y6,,,Y6,,,Y6,,,Y6,,,Y6,,,Y6,,,Y6,,,Y6,,,Y6,,,Y6,,,,
,,,Y7,,,Y7,,,Y7,,,Y7,,,Y7,,,Y7,,,Y7,,,Y7,,,Y7,,,Y7,,,Y7,,,Y7,,,Y7,,,Y7,,,Y7,,,Y7,,,,
,,,Y8,,,Y8,,,Y8,,,Y8,,,Y8,,,Y8,,,Y8,,,Y8,,,Y8,,,Y8,,,Y8,,,Y8,,,Y8,,,Y8,,,Y8,,,Y8,,,,
,,,Y9,,,Y9,,,Y9,,,Y9,,,Y9,,,Y9,,,Y9,,,Y9,,,Y9,,,Y9,,,Y9,,,Y9,,,Y9,,,Y9,,,Y9,,,Y9,,,,
,,,Y10,,,Y10,,,Y10,,,Y10,,,Y10,,,Y10,,,Y10,,,Y10,,,Y10,,,Y10,,,Y10,,,Y10,,,Y10,,,Y10,,,Y10,,,Y10,,,,
,,,Y11,,,Y11,,,Y11,,,Y11,,,Y11,,,Y11,,,Y11,,,Y11,,,Y11,,,Y11,,,Y11,,,Y11,,,Y11,,,Y11,,,Y11,,,Y11,,,,
,,,Y12,,,Y12,,,Y12,,,Y12,,,Y12,,,Y12,,,Y12,,,Y12,,,Y12,,,Y12,,,Y12,,,Y12,,,Y12,,,Y12,,,Y12,,,Y12,,,,
